id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
454,Malawi                                                                                                                                                ,2023,24.6,41.8,11.3,0.0,   36.8,0.0,0.0,24.6,33.5,0.0,0.0,0.0,125.0,     25,11.0,8.0,18.0,88.0,6384.0,Malawi,N
458,Malaysia                                                                                                                                              ,2024,81.4,15.0,5.3,4.4,   65.6,0.1,0.0,38.1,14.4,0.0,14.4,0.0,48.0,     60,18.0,21.0,70.0,141.0,9992.0,Malaysia,I
462,Maldives                                                                                                                                              ,2024,93.6,35.5,11.8,0.0,   38.4,0.0,0.0,93.6,30.2,1.9,2.4,0.0,300.0,    400,2.0,13.0,108.0,177.0,7279.0,Maldives,N
466,Mali                                                                                                                                                  ,2024,29.8,13.3,11.4,0.9,    2.0,0.0,0.0,6.1,36.1,2.3,0.4,0.0,60.0,     35,11.0,5.0,112.0,60.0,5442.0,Mali,N
478,Mauritania                                                                                                                                            ,2023,30.0,11.1,11.5,0.8,    2.9,0.0,0.0,6.2,36.5,0.0,0.4,0.0,50.0,     35,12.0,5.0,75.0,61.0,5210.0,Mauritania,N
480,Mauritius                                                                                                                                             ,2024,7.6,17.0,0.7,5.7,   96.3,0.0,0.0,1.9,0.9,1.9,3.7,0.0,122.0,     30,3.0,4.0,186.0,466.0,5887.0,Mauritius,N
484,Mexico                                                                                                                                                ,2024,100.0,34.8,6.8,0.3,   51.2,0.0,0.4,99.2,11.7,0.0,7.1,0.0,156.0,     50,15.0,18.0,15.0,127.0,7171.0,Mexico,I
583,"Micronesia, Federated States of                                                                                                                       ",2024,,,4.9,,      .,,0.1,,4.3,,4.3,,,     25,,4.0,,87.0,5097.0,"Micronesia, Federated States of",
498,"Moldova, Republic of                                                                                                                                  ",2024,100.0,5.8,4.3,29.8,   42.9,0.0,0.0,0.1,0.1,0.1,1.6,0.0,20.0,     20,13.0,16.0,77.0,105.0,7617.0,"Moldova, Republic of",N
496,Mongolia                                                                                                                                              ,2024,100.0,17.2,5.0,1.8,    1.0,0.0,0.0,77.4,0.4,0.0,0.4,0.0,30.0,     20,9.0,6.0,38.0,25.0,5374.0,Mongolia,N
893,Montenegro                                                                                                                                            ,2024,100.0,4.4,2.9,32.3,   33.4,0.0,0.0,0.2,0.0,3.2,12.0,0.0,20.0,     20,55.0,27.0,99.0,121.0,7938.0,Montenegro,N
504,Morocco                                                                                                                                               ,2024,100.0,39.3,9.8,0.0,    0.0,0.0,0.0,99.4,26.1,0.0,20.2,0.0,45.0,     50,11.0,8.0,11.0,101.0,11080.0,Morocco,N
508,Mozambique                                                                                                                                            ,2024,0.5,26.0,9.7,0.0,    3.3,0.0,0.0,0.1,30.1,0.1,0.0,0.0,100.0,     20,3.0,5.0,149.0,73.0,4967.0,Mozambique,N
104,Myanmar                                                                                                                                               ,2024,5.6,21.1,6.3,1.3,    5.4,0.0,0.0,3.9,7.1,0.0,7.1,0.0,165.0,     40,12.0,11.0,85.0,105.0,10259.0,Myanmar,N
516,Namibia                                                                                                                                               ,2024,92.9,15.6,7.4,12.8,   62.7,0.0,0.9,32.9,19.8,0.6,9.0,0.0,50.0,    112,15.0,41.0,69.0,140.0,7252.0,Namibia,N
520,Nauru                                                                                                                                                 ,2024,,,10.3,,    1.3,,0.6,,1.9,,0.3,,,    466,,17.0,,82.0,5293.0,Nauru,
524,Nepal                                                                                                                                                 ,2024,99.4,23.5,12.4,3.1,    3.8,0.0,0.2,85.1,17.1,0.0,1.6,0.0,60.0,     80,11.0,20.0,39.0,83.0,5373.0,Nepal,N
